trip_id,stop_sequence,stop_id,arrival_time,departure_time
trip_12,9,stop_9,23:20:00,23:20:00
trip_12,10,stop_10,23:30:00,23:30:00
trip_12,11,stop_11,23:40:00,23:40:00
trip_12,12,stop_12,23:45:00,23:45:00
trip_12,13,stop_13,23:50:00,23:50:00
trip_12,14,stop_14,23:55:00,23:55:00
trip_12,15,stop_15,23:59:59,23:59:59
trip_1_r,1,stop_15,0:00:00,0:00:00
trip_1_r,2,stop_14,0:10:00,0:10:00
trip_1_r,3,stop_13,0:20:00,0:20:00
trip_1_r,4,stop_12,0:30:00,0:30:00
trip_1_r,5,stop_11,0:40:00,0:40:00
trip_1_r,6,stop_10,0:50:00,0:50:00
trip_1_r,7,stop_9,1:00:00,1:00:00
trip_1_r,8,stop_8,1:10:00,1:10:00
trip_1_r,9,stop_7,1:20:00,1:20:00
trip_1_r,10,stop_6,1:30:00,1:30:00
trip_1_r,11,stop_5,1:40:00,1:40:00
trip_1_r,12,stop_4,1:45:00,1:45:00
trip_1_r,13,stop_3,1:50:00,1:50:00
trip_1_r,14,stop_2,1:55:00,1:55:00
trip_1_r,15,stop_1,2:00:00,2:00:00
trip_2_r,1,stop_15,2:00:00,2:00:00
trip_2_r,2,stop_14,2:10:00,2:10:00
trip_2_r,3,stop_13,2:20:00,2:20:00
trip_2_r,4,stop_12,2:30:00,2:30:00
trip_2_r,5,stop_11,2:40:00,2:40:00
trip_2_r,6,stop_10,2:50:00,2:50:00
trip_2_r,7,stop_9,3:00:00,3:00:00
trip_2_r,8,stop_8,3:10:00,3:10:00
trip_2_r,9,stop_7,3:20:00,3:20:00
trip_2_r,10,stop_6,3:30:00,3:30:00
trip_2_r,11,stop_5,3:40:00,3:40:00
trip_2_r,12,stop_4,3:45:00,3:45:00
trip_2_r,13,stop_3,3:50:00,3:50:00
trip_2_r,14,stop_2,3:55:00,3:55:00
trip_2_r,15,stop_1,4:00:00,4:00:00
trip_3_r,1,stop_15,4:00:00,4:00:00
trip_3_r,2,stop_14,4:10:00,4:10:00
trip_3_r,3,stop_13,4:20:00,4:20:00
trip_3_r,4,stop_12,4:30:00,4:30:00
trip_3_r,5,stop_11,4:40:00,4:40:00
trip_3_r,6,stop_10,4:50:00,4:50:00
trip_3_r,7,stop_9,5:00:00,5:00:00
trip_3_r,8,stop_8,5:10:00,5:10:00
trip_3_r,9,stop_7,5:20:00,5:20:00
trip_3_r,10,stop_6,5:30:00,5:30:00
trip_3_r,11,stop_5,5:40:00,5:40:00
trip_3_r,12,stop_4,5:45:00,5:45:00
trip_3_r,13,stop_3,5:50:00,5:50:00
trip_3_r,14,stop_2,5:55:00,5:55:00
trip_3_r,15,stop_1,6:00:00,6:00:00
trip_4_r,1,stop_15,6:00:00,6:00:00
trip_4_r,2,stop_14,6:10:00,6:10:00
trip_4_r,3,stop_13,6:20:00,6:20:00
trip_4_r,4,stop_12,6:30:00,6:30:00
trip_4_r,5,stop_11,6:40:00,6:40:00
trip_4_r,6,stop_10,6:50:00,6:50:00
trip_4_r,7,stop_9,7:00:00,7:00:00
trip_4_r,8,stop_8,7:10:00,7:10:00
trip_4_r,9,stop_7,7:20:00,7:20:00
trip_4_r,10,stop_6,7:30:00,7:30:00
trip_4_r,11,stop_5,7:40:00,7:40:00
trip_4_r,12,stop_4,7:45:00,7:45:00
trip_4_r,13,stop_3,7:50:00,7:50:00
trip_4_r,14,stop_2,7:55:00,7:55:00
trip_4_r,15,stop_1,7:59:59,7:59:59
trip_5_r,1,stop_15,8:00:00,8:00:00
trip_5_r,2,stop_14,8:10:00,8:10:00
trip_5_r,3,stop_13,8:20:00,8:20:00
trip_5_r,4,stop_12,8:30:00,8:30:00
trip_5_r,5,stop_11,8:40:00,8:40:00
trip_5_r,6,stop_10,8:50:00,8:50:00
trip_5_r,7,stop_9,9:00:00,9:00:00
trip_5_r,8,stop_8,9:10:00,9:10:00
trip_5_r,9,stop_7,9:20:00,9:20:00
trip_5_r,10,stop_6,9:30:00,9:30:00
trip_5_r,11,stop_5,9:40:00,9:40:00
trip_5_r,12,stop_4,9:45:00,9:45:00
trip_5_r,13,stop_3,9:50:00,9:50:00
trip_5_r,14,stop_2,9:55:00,9:55:00
trip_5_r,15,stop_1,9:59:59,9:59:59
trip_6_r,1,stop_15,10:00:00,10:00:00
trip_6_r,2,stop_14,10:10:00,10:10:00
trip_6_r,3,stop_13,10:20:00,10:20:00
trip_6_r,4,stop_12,10:30:00,10:30:00
trip_6_r,5,stop_11,10:40:00,10:40:00
trip_6_r,6,stop_10,10:50:00,10:50:00
trip_6_r,7,stop_9,11:00:00,11:00:00
trip_6_r,8,stop_8,11:10:00,11:10:00
trip_6_r,9,stop_7,11:20:00,11:20:00
trip_6_r,10,stop_6,11:30:00,11:30:00
trip_6_r,11,stop_5,11:40:00,11:40:00
trip_6_r,12,stop_4,11:45:00,11:45:00
trip_6_r,13,stop_3,11:50:00,11:50:00
trip_6_r,14,stop_2,11:55:00,11:55:00
trip_6_r,15,stop_1,11:59:59,11:59:59
trip_7_r,1,stop_15,12:00:00,12:00:00
trip_7_r,2,stop_14,12:10:00,12:10:00
trip_7_r,3,stop_13,12:20:00,12:20:00
trip_7_r,4,stop_12,12:30:00,12:30:00
trip_7_r,5,stop_11,12:40:00,12:40:00
trip_7_r,6,stop_10,12:50:00,12:50:00
trip_7_r,7,stop_9,13:00:00,13:00:00
trip_7_r,8,stop_8,13:10:00,13:10:00
trip_7_r,9,stop_7,13:20:00,13:20:00
trip_7_r,10,stop_6,13:30:00,13:30:00
trip_7_r,11,stop_5,13:40:00,13:40:00
trip_7_r,12,stop_4,13:45:00,13:45:00
trip_7_r,13,stop_3,13:50:00,13:50:00
trip_7_r,14,stop_2,13:55:00,13:55:00
trip_7_r,15,stop_1,13:59:59,13:59:59
trip_8_r,1,stop_15,14:00:00,14:00:00
trip_8_r,2,stop_14,14:10:00,14:10:00
trip_8_r,3,stop_13,14:20:00,14:20:00
trip_8_r,4,stop_12,14:30:00,14:30:00
trip_8_r,5,stop_11,14:40:00,14:40:00
trip_8_r,6,stop_10,14:50:00,14:50:00
trip_8_r,7,stop_9,15:00:00,15:00:00
trip_8_r,8,stop_8,15:10:00,15:10:00
trip_8_r,9,stop_7,15:20:00,15:20:00
trip_8_r,10,stop_6,15:30:00,15:30:00
trip_8_r,11,stop_5,15:40:00,15:40:00
trip_8_r,12,stop_4,15:45:00,15:45:00
trip_8_r,13,stop_3,15:50:00,15:50:00
trip_8_r,14,stop_2,15:55:00,15:55:00
trip_8_r,15,stop_1,15:59:59,15:59:59
trip_9_r,1,stop_15,16:00:00,16:00:00
trip_9_r,2,stop_14,16:10:00,16:10:00
trip_9_r,3,stop_13,16:20:00,16:20:00
trip_9_r,4,stop_12,16:30:00,16:30:00
trip_9_r,5,stop_11,16:40:00,16:40:00
trip_9_r,6,stop_10,16:50:00,16:50:00
trip_9_r,7,stop_9,17:00:00,17:00:00
trip_9_r,8,stop_8,17:10:00,17:10:00
trip_9_r,9,stop_7,17:20:00,17:20:00
trip_9_r,10,stop_6,17:30:00,17:30:00
trip_9_r,11,stop_5,17:40:00,17:40:00
trip_9_r,12,stop_4,17:45:00,17:45:00
trip_9_r,13,stop_3,17:50:00,17:50:00
trip_9_r,14,stop_2,17:55:00,17:55:00
trip_9_r,15,stop_1,17:59:59,17:59:59
trip_10_r,1,stop_15,18:00:00,18:00:00
trip_10_r,2,stop_14,18:10:00,18:10:00
trip_10_r,3,stop_13,18:20:00,18:20:00
trip_10_r,4,stop_12,18:30:00,18:30:00
trip_10_r,5,stop_11,18:40:00,18:40:00
trip_10_r,6,stop_10,18:50:00,18:50:00
trip_10_r,7,stop_9,19:00:00,19:00:00
trip_10_r,8,stop_8,19:10:00,19:10:00
trip_10_r,9,stop_7,19:20:00,19:20:00
trip_10_r,10,stop_6,19:30:00,19:30:00
trip_10_r,11,stop_5,19:40:00,19:40:00
trip_10_r,12,stop_4,19:45:00,19:45:00
trip_10_r,13,stop_3,19:50:00,19:50:00
trip_10_r,14,stop_2,19:55:00,19:55:00
trip_10_r,15,stop_1,19:59:59,19:59:59
trip_11_r,1,stop_15,20:00:00,20:00:00
trip_11_r,2,stop_14,20:10:00,20:10:00
trip_11_r,3,stop_13,20:20:00,20:20:00
trip_11_r,4,stop_12,20:30:00,20:30:00
trip_11_r,5,stop_11,20:40:00,20:40:00
trip_11_r,6,stop_10,20:50:00,20:50:00
trip_11_r,7,stop_9,21:00:00,21:00:00
trip_11_r,8,stop_8,21:10:00,21:10:00
trip_11_r,9,stop_7,21:20:00,21:20:00
trip_11_r,10,stop_6,21:30:00,21:30:00
trip_11_r,11,stop_5,21:40:00,21:40:00
trip_11_r,12,stop_4,21:45:00,21:45:00
trip_11_r,13,stop_3,21:50:00,21:50:00
trip_11_r,14,stop_2,21:55:00,21:55:00
trip_11_r,15,stop_1,21:59:59,21:59:59
trip_12_r,1,stop_15,22:00:00,22:00:00
trip_12_r,2,stop_14,22:10:00,22:10:00
trip_12_r,3,stop_13,22:20:00,22:20:00
trip_12_r,4,stop_12,22:30:00,22:30:00
trip_12_r,5,stop_11,22:40:00,22:40:00
trip_12_r,6,stop_10,22:50:00,22:50:00
trip_12_r,7,stop_9,23:00:00,23:00:00
trip_12_r,8,stop_8,23:10:00,23:10:00
trip_12_r,9,stop_7,23:20:00,23:20:00
trip_12_r,10,stop_6,23:30:00,23:30:00
trip_12_r,11,stop_5,23:40:00,23:40:00
trip_12_r,12,stop_4,23:45:00,23:45:00
trip_12_r,13,stop_3,23:50:00,23:50:00
trip_12_r,14,stop_2,23:55:00,23:55:00
trip_12_r,15,stop_1,23:59:59,23:59:59

